,v3s,,,v3s2,,,v3s3,,,v3s5,,,v3s7,,,v3s9,,
bobsmhdlc3,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsmhdlc,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsmi2c,timeout,,,timeout,,,UNSAT,65,49.112,UNSAT,55,84.767,UNSAT,59,143.84,UNSAT,49,211.34
bobsmmem,timeout,,,timeout,,,error:-6,,,error:-6,,,timeout,,,timeout,,
bobsmminiuart,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsmmips,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
bobsmnut1,UNSAT,86,69.268,UNSAT,85,77.496,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsmnut2,UNSAT,57,1.6308,UNSAT,62,1.9495,UNSAT,57,2.0144,UNSAT,59,3.3914,error:-6,,,error:-6,,
bobsmoci,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsmrisc,UNSAT,19,388.12,UNSAT,19,411.92,UNSAT,21,664.12,timeout,,,timeout,,,timeout,,
bobsmvhd3,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsynth00neg,SAT,1,0.059162,SAT,1,0.076442,SAT,1,0.070674,SAT,1,0.10506,SAT,1,0.11997,SAT,1,0.16782
bobsynth01neg,UNSAT,7,1.2029,UNSAT,8,1.0482,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsynth04neg,SAT,3,0.14428,SAT,2,0.10209,SAT,1,0.073976,SAT,1,0.10997,SAT,1,0.12982,SAT,1,0.17161
bobsynth06neg,SAT,20,192.58,SAT,21,557.49,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsynth07neg,SAT,15,59.626,SAT,17,164.06,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsynth08neg,SAT,18,314.96,SAT,22,723.24,SAT,19,733.51,error:-6,,,error:-6,,,error:-6,,
bobsynth09neg,UNSAT,6,0.94087,UNSAT,8,1.6179,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsynth11neg,SAT,14,33.527,SAT,11,16.107,error:-6,,,error:-6,,,error:-6,,,error:-6,,
bobsynth12neg,SAT,12,36.875,SAT,14,20.731,SAT,12,21.401,SAT,10,35.019,SAT,8,23.323,SAT,7,15.734
bobsynth13neg,SAT,17,80.483,SAT,16,48.717,SAT,16,93.777,SAT,14,126.56,SAT,13,154.97,SAT,11,189.82
bobsynthetic2,SAT,5,81.191,SAT,4,108.36,SAT,3,141.45,SAT,1,0.51826,SAT,1,1.0934,SAT,1,3.5021
bobsynthetic,SAT,5,12.042,SAT,4,15.589,SAT,3,24.093,SAT,1,0.99742,SAT,1,2.0537,SAT,1,2.4236
bobtuint04neg,UNSAT,15,0.12003,UNSAT,15,0.20541,UNSAT,15,0.41961,UNSAT,15,0.85659,UNSAT,15,1.2335,UNSAT,14,2.0615
bobtuint05neg,UNSAT,15,0.12259,UNSAT,15,0.202,UNSAT,15,0.40313,UNSAT,15,0.75402,UNSAT,15,1.2287,UNSAT,14,2.0674
bobtuint06,SAT,1,0.002254,SAT,1,0.003467,SAT,1,0.011173,SAT,1,0.026472,SAT,1,0.033113,SAT,1,0.040928
bobtuint06neg,UNSAT,11,0.016072,UNSAT,10,0.068709,UNSAT,10,0.10762,UNSAT,10,0.20391,UNSAT,10,0.30927,UNSAT,11,0.44049
bobtuint07neg,UNSAT,15,0.099996,UNSAT,14,0.2899,UNSAT,15,0.36564,UNSAT,15,0.8061,UNSAT,15,1.1912,UNSAT,14,1.5859
bobtuint08neg,UNSAT,9,0.06737,UNSAT,8,0.083384,UNSAT,7,0.10493,UNSAT,7,0.12988,UNSAT,6,0.14197,UNSAT,6,0.21775
bobtuint09neg,UNSAT,14,0.29877,UNSAT,15,0.67105,UNSAT,16,0.46966,UNSAT,15,0.84127,UNSAT,16,1.6456,UNSAT,15,1.9038
bobtuint10neg,UNSAT,7,0.019615,UNSAT,7,0.053849,UNSAT,7,0.098424,UNSAT,7,0.19479,UNSAT,6,0.26697,UNSAT,7,0.35105
bobtuint11neg,UNSAT,5,0.004393,UNSAT,5,0.017472,UNSAT,5,0.042464,UNSAT,5,0.074795,UNSAT,4,0.079681,UNSAT,4,0.13264
bobtuint12neg,UNSAT,5,0.005281,UNSAT,5,0.019919,UNSAT,5,0.024672,UNSAT,5,0.080135,UNSAT,4,0.076102,UNSAT,4,0.10866
bobtuint13neg,UNSAT,10,0.044262,UNSAT,9,0.091559,UNSAT,9,0.1113,UNSAT,9,0.24455,UNSAT,8,0.26763,UNSAT,8,0.33028
bobtuint14neg,UNSAT,5,0.005084,UNSAT,5,0.019436,UNSAT,5,0.033105,UNSAT,5,0.076278,UNSAT,4,0.068984,UNSAT,4,0.1164
bobtuint15neg,UNSAT,9,0.040945,UNSAT,9,0.06693,UNSAT,9,0.10309,UNSAT,9,0.24109,UNSAT,9,0.28827,UNSAT,7,0.50465
bobtuint16neg,UNSAT,5,0.00434,UNSAT,5,0.012885,UNSAT,5,0.031551,UNSAT,5,0.1011,UNSAT,4,0.10696,UNSAT,4,0.10443
bobtuint17neg,UNSAT,9,0.037399,UNSAT,9,0.070249,UNSAT,9,0.11899,UNSAT,9,0.264,UNSAT,8,0.27639,UNSAT,9,0.48327
bobtuint18neg,UNSAT,5,0.004062,UNSAT,5,0.014153,UNSAT,5,0.039634,UNSAT,5,0.074114,UNSAT,4,0.08597,UNSAT,4,0.12634
bobtuint19neg,UNSAT,10,0.029901,UNSAT,9,0.070688,UNSAT,9,0.11809,UNSAT,9,0.24441,UNSAT,9,0.25747,UNSAT,8,0.37453
bobtuint20neg,UNSAT,5,0.005282,UNSAT,5,0.011742,UNSAT,5,0.028863,UNSAT,5,0.071043,UNSAT,4,0.073563,UNSAT,4,0.10296
bobtuint21neg,UNSAT,9,0.035252,UNSAT,9,0.07048,UNSAT,9,0.12114,UNSAT,9,0.25951,UNSAT,7,0.27983,UNSAT,9,0.53347
bobtuint22neg,UNSAT,5,0.003898,UNSAT,5,0.012791,UNSAT,5,0.027519,UNSAT,5,0.074199,UNSAT,4,0.079922,UNSAT,4,0.10371
bobtuint23neg,UNSAT,9,0.035241,UNSAT,9,0.07034,UNSAT,9,0.1087,UNSAT,10,0.26262,UNSAT,9,0.25265,UNSAT,9,0.45902
bobtuint24neg,UNSAT,5,0.004486,UNSAT,5,0.016922,UNSAT,5,0.027133,UNSAT,5,0.073939,UNSAT,4,0.088866,UNSAT,4,0.11027
bobtuint25neg,UNSAT,8,0.038115,UNSAT,9,0.071917,UNSAT,9,0.12452,UNSAT,9,0.25814,UNSAT,7,0.25286,UNSAT,8,0.38701
bobtuint26neg,UNSAT,13,0.053911,UNSAT,11,0.10737,UNSAT,12,0.17108,UNSAT,12,0.40133,UNSAT,12,0.56124,UNSAT,12,0.76705
bobtuint27neg,UNSAT,21,4.142,UNSAT,15,3.9721,UNSAT,20,7.391,UNSAT,15,10.844,UNSAT,18,23.633,UNSAT,16,34.105
bobtuint28neg,UNSAT,12,0.013688,UNSAT,12,0.048959,UNSAT,12,0.089047,UNSAT,12,0.16463,UNSAT,12,0.28307,UNSAT,11,0.35435
bobtuint29neg,UNSAT,5,0.00826,UNSAT,5,0.02831,UNSAT,5,0.047166,UNSAT,6,0.096657,UNSAT,5,0.12601,UNSAT,5,0.16455
bobtuint30neg,UNSAT,12,0.026744,UNSAT,12,0.066295,UNSAT,12,0.088886,UNSAT,12,0.21911,UNSAT,12,0.32823,UNSAT,11,0.35533
bobtuint31neg,UNSAT,27,0.84506,UNSAT,26,1.0263,UNSAT,30,1.6676,UNSAT,24,2.9737,UNSAT,20,4.0773,UNSAT,18,7.3194
bobtuintorneg,UNSAT,3,0.001291,UNSAT,3,0.00318,UNSAT,3,0.019941,UNSAT,3,0.017766,UNSAT,3,0.024541,UNSAT,3,0.034728
bobtutt,SAT,3,0.19089,SAT,3,0.67581,SAT,3,1.4358,SAT,3,4.0943,SAT,3,5.4522,SAT,3,11.549
bobtuttt,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
cmudme1,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
cmudme2,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
csmacdp0,SAT,7,20.685,SAT,7,18.683,SAT,3,1.0288,SAT,3,5.6831,SAT,2,4.7858,SAT,1,0.097818
csmacdp0neg,SAT,7,21.078,SAT,6,11.451,SAT,5,8.1597,SAT,3,7.7915,SAT,2,4.9543,SAT,1,0.09666
csmacdp2,SAT,7,96.292,SAT,5,12.062,SAT,5,6.1188,SAT,3,3.2611,SAT,2,5.8185,SAT,1,0.10976
csmacdp2neg,SAT,8,137.39,SAT,5,7.9656,SAT,5,9.5509,SAT,3,6.1505,SAT,2,5.855,SAT,1,0.11857
eijkbs1512,UNSAT,181,82.166,UNSAT,179,98.542,UNSAT,175,93.645,UNSAT,181,120.02,UNSAT,164,168.53,UNSAT,180,188.37
eijkbs3271,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,,timeout,,
eijkbs3330,UNSAT,8,13.116,UNSAT,7,16.368,error:-6,,,error:-6,,,error:-6,,,error:-6,,
eijkbs3384,timeout,,,timeout,,,error:-6,,,error:-6,,,error:-6,,,timeout,,
