,V3s,,,V3sTem3,,,,v3s,,,V3sTem3,,,v3sTem5,,,v3sTem7,,
pdtvisns3p05,UNSAT,17,7.6495,UNSAT,12,31.279,,UNSAT,17,7.7747,UNSAT,12,32.197,UNSAT,12,32.524,UNSAT,12,32.146
pdtvisns3p06,UNSAT,19,24.025,UNSAT,16,29.953,,UNSAT,19,24.377,UNSAT,16,30.882,UNSAT,16,30.508,UNSAT,16,30.819
pdtvisns3p07,UNSAT,14,5.1404,UNSAT,20,27.501,,UNSAT,14,5.0917,UNSAT,20,27.667,UNSAT,20,27.729,UNSAT,20,28.079
pdtvisns3p08,UNSAT,11,1.4863,UNSAT,10,2.4655,,UNSAT,11,1.5127,UNSAT,10,2.6647,UNSAT,10,2.6728,UNSAT,10,2.6965
pdtvisns3p09,UNSAT,13,1.9954,UNSAT,11,2.687,,UNSAT,13,2.0197,UNSAT,11,2.795,UNSAT,11,2.8631,UNSAT,11,2.9132
pdtvisrethersqo4,UNSAT,39,20.219,UNSAT,39,20.144,,UNSAT,39,20.238,UNSAT,39,20.407,UNSAT,39,20.136,UNSAT,39,20.424
pdtvissfeistel,UNSAT,22,99.486,UNSAT,17,131.74,,UNSAT,22,100.88,UNSAT,17,134.55,UNSAT,17,135.64,UNSAT,17,135.7
pdtvissoap1,UNSAT,13,3.4204,UNSAT,19,14.512,,UNSAT,13,3.3072,UNSAT,19,14.882,UNSAT,19,14.993,UNSAT,19,15.024
pdtvissoap2,UNSAT,14,3.224,UNSAT,13,2.7786,,UNSAT,14,3.1251,UNSAT,13,2.8676,UNSAT,13,2.8905,UNSAT,13,2.7476
pdtvistimeout0,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtvisvending01,UNSAT,24,24.171,UNSAT,16,15.529,,UNSAT,24,24.148,UNSAT,16,15.585,UNSAT,16,15.357,UNSAT,16,15.425
pdtvisvsa16a27,UNSAT,9,1.2202,UNSAT,9,3.1302,,UNSAT,9,1.1802,UNSAT,9,3.198,UNSAT,9,3.1027,UNSAT,9,2.9837
pdtvisvsa16a29,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtvisvsar27,UNSAT,10,0.26985,UNSAT,9,0.4998,,UNSAT,10,0.25988,UNSAT,9,0.5079,UNSAT,9,0.49712,UNSAT,9,0.48087
pdtvisvsar29,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtvsar8multip00,UNSAT,6,0.040821,UNSAT,8,0.25952,,UNSAT,6,0.051316,UNSAT,8,0.26732,UNSAT,8,0.22528,UNSAT,8,0.26457
pdtvsar8multip01,UNSAT,3,0.055744,UNSAT,3,0.15476,,UNSAT,3,0.050088,UNSAT,3,0.16314,UNSAT,3,0.13475,UNSAT,3,0.15746
pdtvsar8multip02,UNSAT,5,0.034967,UNSAT,4,0.11162,,UNSAT,5,0.032057,UNSAT,4,0.11346,UNSAT,4,0.11383,UNSAT,4,0.11614
pdtvsar8multip03,UNSAT,5,1.6499,UNSAT,5,4.9798,,UNSAT,5,1.6152,UNSAT,5,5.2884,UNSAT,5,5.2628,UNSAT,5,5.1401
pdtvsar8multip04,UNSAT,6,0.11645,UNSAT,6,0.51595,,UNSAT,6,0.14723,UNSAT,6,0.55657,UNSAT,6,0.6641,UNSAT,6,0.61738
pdtvsar8multip05,UNSAT,9,4.1643,UNSAT,7,7.9309,,UNSAT,9,4.2456,UNSAT,7,8.48,UNSAT,7,8.4296,UNSAT,7,8.3392
pdtvsar8multip06,UNSAT,6,0.32458,UNSAT,7,1.3054,,UNSAT,6,0.3088,UNSAT,7,1.357,UNSAT,7,1.3691,UNSAT,7,1.3458
pdtvsar8multip07,UNSAT,9,6.9362,UNSAT,9,15.258,,UNSAT,9,7.2068,UNSAT,9,16.226,UNSAT,9,16.042,UNSAT,9,15.85
pdtvsar8multip08,UNSAT,6,0.17842,UNSAT,7,0.86591,,UNSAT,6,0.16128,UNSAT,7,0.99698,UNSAT,7,1.0018,UNSAT,7,0.98891
pdtvsar8multip09,UNSAT,6,0.18727,UNSAT,6,0.7,,UNSAT,6,0.15721,UNSAT,6,0.64224,UNSAT,6,0.63661,UNSAT,6,0.73101
pdtvsar8multip10,UNSAT,9,4.3698,UNSAT,8,9.2016,,UNSAT,9,4.4509,UNSAT,8,9.5756,UNSAT,8,9.6784,UNSAT,8,9.5543
pdtvsar8multip11,UNSAT,4,0.048984,UNSAT,4,0.2329,,UNSAT,4,0.071391,UNSAT,4,0.24591,UNSAT,4,0.24699,UNSAT,4,0.24326
pdtvsar8multip12,UNSAT,8,0.22011,UNSAT,7,0.62938,,UNSAT,8,0.25052,UNSAT,7,0.6341,UNSAT,7,0.66768,UNSAT,7,0.61567
pdtvsar8multip13,UNSAT,4,0.14472,UNSAT,4,0.32657,,UNSAT,4,0.17103,UNSAT,4,0.33371,UNSAT,4,0.39234,UNSAT,4,0.33146
pdtvsar8multip14,UNSAT,4,0.092075,UNSAT,4,0.24202,,UNSAT,4,0.082136,UNSAT,4,0.21519,UNSAT,4,0.25178,UNSAT,4,0.21611
pdtvsar8multip15,UNSAT,4,0.22757,UNSAT,4,0.55424,,UNSAT,4,0.22674,UNSAT,4,0.50233,UNSAT,4,0.55173,UNSAT,4,0.498
pdtvsar8multip16,UNSAT,3,0.00449,UNSAT,3,0.050199,,UNSAT,3,0.004086,UNSAT,3,0.053741,UNSAT,3,0.052892,UNSAT,3,0.043789
pdtvsar8multip17,UNSAT,4,0.025162,UNSAT,4,0.11636,,UNSAT,4,0.02998,UNSAT,4,0.12031,UNSAT,4,0.1231,UNSAT,4,0.10473
pdtvsar8multip18,UNSAT,3,0.004289,UNSAT,3,0.049372,,UNSAT,3,0.005282,UNSAT,3,0.053174,UNSAT,3,0.054712,UNSAT,3,0.046683
pdtvsar8multip19,UNSAT,4,0.13499,UNSAT,4,0.33377,,UNSAT,4,0.14205,UNSAT,4,0.3382,UNSAT,4,0.37297,UNSAT,4,0.31172
pdtvsar8multip20,UNSAT,4,0.06953,UNSAT,3,0.14962,,UNSAT,4,0.084086,UNSAT,3,0.15216,UNSAT,3,0.1816,UNSAT,3,0.15586
pdtvsar8multip21,UNSAT,4,0.0459,UNSAT,4,0.15625,,UNSAT,4,0.045049,UNSAT,4,0.13495,UNSAT,4,0.16307,UNSAT,4,0.13604
pdtvsar8multip22,UNSAT,4,0.096325,UNSAT,4,0.23566,,UNSAT,4,0.10089,UNSAT,4,0.23972,UNSAT,4,0.2855,UNSAT,4,0.278
pdtvsar8multip23,UNSAT,4,0.06508,UNSAT,4,0.18701,,UNSAT,4,0.070936,UNSAT,4,0.16818,UNSAT,4,0.19473,UNSAT,4,0.17044
pdtvsar8multip24,UNSAT,4,0.028759,UNSAT,4,0.11303,,UNSAT,4,0.024975,UNSAT,4,0.12027,UNSAT,4,0.10412,UNSAT,4,0.10048
pdtvsar8multip25,UNSAT,4,0.050717,UNSAT,4,0.154,,UNSAT,4,0.044744,UNSAT,4,0.13588,UNSAT,4,0.16053,UNSAT,4,0.15918
pdtvsar8multip26,UNSAT,4,0.050456,UNSAT,4,0.13797,,UNSAT,4,0.042175,UNSAT,4,0.13702,UNSAT,4,0.13325,UNSAT,4,0.15628
pdtvsar8multip27,UNSAT,11,0.75398,UNSAT,8,1.3425,,UNSAT,11,0.7351,UNSAT,8,1.5393,UNSAT,8,1.4476,UNSAT,8,1.4079
pdtvsar8multip28,UNSAT,3,0.004863,UNSAT,3,0.050882,,UNSAT,3,0.003466,UNSAT,3,0.07632,UNSAT,3,0.048995,UNSAT,3,0.048544
pdtvsar8multip29,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtvsar8multip30,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtvsar8multip31,UNSAT,4,0.16351,UNSAT,4,0.33712,,UNSAT,4,0.13347,UNSAT,4,0.38392,UNSAT,4,0.37873,UNSAT,4,0.34708
pdtvsar8multip32,UNSAT,3,0.20263,UNSAT,3,0.34203,,UNSAT,3,0.16662,UNSAT,3,0.39179,UNSAT,3,0.39921,UNSAT,3,0.34086
pdtvsarmultip00,UNSAT,6,0.02879,UNSAT,6,0.075554,,UNSAT,6,0.019789,UNSAT,6,0.085914,UNSAT,6,0.1024,UNSAT,6,0.10782
pdtvsarmultip01,UNSAT,3,0.024576,UNSAT,3,0.063161,,UNSAT,3,0.014691,UNSAT,3,0.05461,UNSAT,3,0.073569,UNSAT,3,0.047746
pdtvsarmultip02,UNSAT,5,0.021537,UNSAT,4,0.066348,,UNSAT,5,0.011394,UNSAT,4,0.045807,UNSAT,4,0.047205,UNSAT,4,0.065946
pdtvsarmultip03,UNSAT,5,0.27739,UNSAT,5,0.80094,,UNSAT,5,0.26896,UNSAT,5,0.68878,UNSAT,5,0.75894,UNSAT,5,0.80158
pdtvsarmultip04,UNSAT,6,0.043045,UNSAT,6,0.22283,,UNSAT,6,0.074393,UNSAT,6,0.17001,UNSAT,6,0.16934,UNSAT,6,0.21011
pdtvsarmultip05,UNSAT,9,0.71728,UNSAT,7,1.256,,UNSAT,9,0.7629,UNSAT,7,1.1623,UNSAT,7,1.2913,UNSAT,7,1.2154
pdtvsarmultip06,UNSAT,6,0.21026,UNSAT,7,0.59547,,UNSAT,6,0.21775,UNSAT,7,0.61576,UNSAT,7,0.58383,UNSAT,7,0.60356
pdtvsarmultip07,UNSAT,9,1.1931,UNSAT,9,2.2966,,UNSAT,9,1.1444,UNSAT,9,2.4033,UNSAT,9,2.2468,UNSAT,9,2.2369
pdtvsarmultip08,UNSAT,6,0.12806,UNSAT,7,0.43148,,UNSAT,6,0.12212,UNSAT,7,0.42871,UNSAT,7,0.42991,UNSAT,7,0.42139
pdtvsarmultip09,UNSAT,6,0.11242,UNSAT,6,0.36634,,UNSAT,6,0.13164,UNSAT,6,0.29605,UNSAT,6,0.29284,UNSAT,6,0.29263
pdtvsarmultip10,UNSAT,9,0.74872,UNSAT,7,1.1867,,UNSAT,9,0.76984,UNSAT,7,1.2498,UNSAT,7,1.2702,UNSAT,7,1.1494
pdtvsarmultip11,UNSAT,4,0.020338,UNSAT,4,0.065626,,UNSAT,4,0.046001,UNSAT,4,0.091269,UNSAT,4,0.090066,UNSAT,4,0.07853
pdtvsarmultip12,UNSAT,8,0.10617,UNSAT,7,0.31007,,UNSAT,8,0.1514,UNSAT,7,0.30426,UNSAT,7,0.29771,UNSAT,7,0.24815
pdtvsarmultip13,UNSAT,4,0.049496,UNSAT,5,0.14476,,UNSAT,4,0.073449,UNSAT,5,0.15283,UNSAT,5,0.15038,UNSAT,5,0.16367
pdtvsarmultip14,UNSAT,4,0.039703,UNSAT,4,0.11159,,UNSAT,4,0.060368,UNSAT,4,0.094707,UNSAT,4,0.094627,UNSAT,4,0.13202
pdtvsarmultip15,UNSAT,4,0.12139,UNSAT,4,0.27023,,UNSAT,4,0.14411,UNSAT,4,0.27186,UNSAT,4,0.21501,UNSAT,4,0.25005
pdtvsarmultip16,UNSAT,3,0.002102,UNSAT,3,0.029086,,UNSAT,3,0.002031,UNSAT,3,0.0315,UNSAT,3,0.031103,UNSAT,3,0.02102
pdtvsarmultip17,UNSAT,4,0.019635,UNSAT,4,0.068807,,UNSAT,4,0.014964,UNSAT,4,0.066643,UNSAT,4,0.069155,UNSAT,4,0.049825
pdtvsarmultip18,UNSAT,3,0.002767,UNSAT,3,0.0319,,UNSAT,3,0.003704,UNSAT,3,0.031909,UNSAT,3,0.031517,UNSAT,3,0.021202
pdtvsarmultip19,UNSAT,4,0.062296,UNSAT,4,0.13887,,UNSAT,4,0.044532,UNSAT,4,0.13968,UNSAT,4,0.13919,UNSAT,4,0.11495
pdtvsarmultip20,UNSAT,4,0.031052,UNSAT,3,0.079855,,UNSAT,4,0.042704,UNSAT,3,0.08007,UNSAT,3,0.070384,UNSAT,3,0.067893
pdtvsarmultip21,UNSAT,4,0.029072,UNSAT,4,0.088339,,UNSAT,4,0.028912,UNSAT,4,0.066834,UNSAT,4,0.087962,UNSAT,4,0.06619
pdtvsarmultip22,UNSAT,4,0.035422,UNSAT,4,0.11443,,UNSAT,4,0.031308,UNSAT,4,0.10674,UNSAT,4,0.10404,UNSAT,4,0.10025
pdtvsarmultip23,UNSAT,4,0.033451,UNSAT,4,0.09219,,UNSAT,4,0.034852,UNSAT,4,0.069154,UNSAT,4,0.089652,UNSAT,4,0.082315
pdtvsarmultip24,UNSAT,4,0.015514,UNSAT,4,0.064675,,UNSAT,4,0.023704,UNSAT,4,0.049201,UNSAT,4,0.06625,UNSAT,4,0.04893
pdtvsarmultip25,UNSAT,4,0.026732,UNSAT,4,0.079468,,UNSAT,4,0.027433,UNSAT,4,0.058952,UNSAT,4,0.078736,UNSAT,4,0.070563
pdtvsarmultip26,UNSAT,4,0.024252,UNSAT,4,0.068568,,UNSAT,4,0.029275,UNSAT,4,0.087468,UNSAT,4,0.066964,UNSAT,4,0.066528
pdtvsarmultip27,UNSAT,11,0.29211,UNSAT,8,0.53445,,UNSAT,11,0.29668,UNSAT,8,0.54319,UNSAT,8,0.52917,UNSAT,8,0.50989
pdtvsarmultip28,UNSAT,3,0.003092,UNSAT,3,0.031595,,UNSAT,3,0.003316,UNSAT,3,0.027616,UNSAT,3,0.021147,UNSAT,3,0.02553
pdtvsarmultip29,unknown,,,unknown,,,,unknown,,,unknown,,,unknown,,,unknown,,
pdtvsarmultip30,UNSAT,3,0.003506,UNSAT,3,0.031751,,UNSAT,3,0.003391,UNSAT,3,0.030379,UNSAT,3,0.031682,UNSAT,3,0.031785
pdtvsarmultip31,UNSAT,4,0.074803,UNSAT,4,0.11134,,UNSAT,4,0.076157,UNSAT,4,0.15238,UNSAT,4,0.14245,UNSAT,4,0.15049
pdtvsarmultip32,UNSAT,22,84.923,UNSAT,19,71.201,,UNSAT,22,82.008,UNSAT,19,69.525,UNSAT,19,68.961,UNSAT,19,69.8
pj2005,UNSAT,9,4.5946,UNSAT,9,11.381,,UNSAT,9,4.4871,UNSAT,9,10.48,UNSAT,9,10.358,UNSAT,9,10.534
pj2006,UNSAT,15,35.575,UNSAT,12,88.818,,UNSAT,15,33.118,UNSAT,12,74.193,UNSAT,12,78.836,UNSAT,12,80.553
pj2008,UNSAT,7,2.4525,UNSAT,8,7.9427,,UNSAT,7,2.3055,UNSAT,8,6.7806,UNSAT,8,7.1679,UNSAT,8,6.9886
pj2009,UNSAT,6,0.60791,UNSAT,7,3.0172,,UNSAT,6,0.57682,UNSAT,7,2.685,UNSAT,7,2.8208,UNSAT,7,2.8339
pj2013,UNSAT,4,0.42358,UNSAT,4,1.0668,,UNSAT,4,0.41884,UNSAT,4,1.048,UNSAT,4,1.0499,UNSAT,4,1.0501
pj2016,UNSAT,8,8.0626,UNSAT,9,440.4,,UNSAT,8,7.639,UNSAT,9,399.4,UNSAT,9,400.83,UNSAT,9,401.46
pj2017,UNSAT,22,321.68,UNSAT,31,759.19,,UNSAT,22,321.2,UNSAT,31,742.71,UNSAT,31,736.55,UNSAT,31,743.13
pj2018,UNSAT,20,125.43,UNSAT,20,182.09,,UNSAT,20,131.14,UNSAT,20,172.34,UNSAT,20,168.28,UNSAT,20,158.82
pj2019,UNSAT,5,2.6188,UNSAT,4,7.9858,,UNSAT,5,2.6469,UNSAT,4,8.4952,UNSAT,4,8.1275,UNSAT,4,7.7313
prodcellp0neg,SAT,73,63.96,SAT,76,103.78,,SAT,73,63.976,SAT,76,104.21,SAT,76,103.33,SAT,76,103.3
prodcellp1,SAT,56,72.919,SAT,80,220.03,,SAT,56,71.365,SAT,80,217.06,SAT,80,217.05,SAT,80,216.42
prodcellp1neg,SAT,58,73.683,SAT,77,183.55,,SAT,58,69.026,SAT,77,182.12,SAT,77,181.35,SAT,77,182.15
prodcellp2,SAT,62,89.889,SAT,109,299.33,,SAT,62,83.406,SAT,109,295.37,SAT,109,295.48,SAT,109,296.24
prodcellp2neg,SAT,62,90.849,SAT,95,190.33,,SAT,62,83.764,SAT,95,190.8,SAT,95,191.34,SAT,95,191.25
prodcellp3,SAT,69,105.37,SAT,76,103.42,,SAT,69,99.012,SAT,76,103.34,SAT,76,103.74,SAT,76,103.76
prodcellp4,SAT,80,95.797,SAT,58,85.636,,SAT,80,94.725,SAT,58,85.824,SAT,58,85.802,SAT,58,85.762
prodcellp4neg,SAT,64,81.343,SAT,70,102.86,,SAT,64,82.985,SAT,70,102.87,SAT,70,103.1,SAT,70,103.14
prodconsp0,SAT,18,4.4612,SAT,16,4.4478,,SAT,18,4.5378,SAT,16,4.3244,SAT,16,4.4676,SAT,16,4.331
prodconsp0neg,SAT,20,7.0487,SAT,17,5.0485,,SAT,20,7.1552,SAT,17,5.049,SAT,17,5.057,SAT,17,5.1969
prodconsp1,SAT,15,2.0628,SAT,16,3.9692,,SAT,15,2.063,SAT,16,3.9718,SAT,16,3.9601,SAT,16,4.0862
prodconsp1negnv,SAT,18,3.6896,SAT,16,6.7827,,SAT,18,3.8275,SAT,16,7.0023,SAT,16,6.8504,SAT,16,6.8176
prodconsp5,SAT,15,2.5378,SAT,15,6.4204,,SAT,15,2.5263,SAT,15,6.5806,SAT,15,6.5039,SAT,15,6.4018
prodconsp5neg,SAT,16,2.5349,SAT,16,5.3385,,SAT,16,2.5544,SAT,16,5.3807,SAT,16,5.2641,SAT,16,5.2262
prodconspold1,SAT,16,3.0804,SAT,17,6.1517,,SAT,16,3.114,SAT,17,6.3194,SAT,17,6.2782,SAT,17,6.2786
prodconspold3,SAT,16,2.7933,SAT,17,3.8667,,SAT,16,2.6837,SAT,17,3.7769,SAT,17,3.9334,SAT,17,3.9329
prodconspold4,SAT,16,2.6992,SAT,16,4.1827,,SAT,16,2.6831,SAT,16,4.066,SAT,16,4.0787,SAT,16,4.2341
texaspimainp15,UNSAT,5,0.099323,UNSAT,4,0.18118,,UNSAT,5,0.096622,UNSAT,4,0.20959,UNSAT,4,0.18382,UNSAT,4,0.1831
vis4arbitp1,UNSAT,7,0.14801,UNSAT,7,0.20505,,UNSAT,7,0.19082,UNSAT,7,0.20467,UNSAT,7,0.20615,UNSAT,7,0.20826
visbakery,SAT,22,4.2861,SAT,22,4.3662,,SAT,22,4.4442,SAT,22,4.3639,SAT,22,4.3687,SAT,22,4.3302
viselevatorp3,UNSAT,5,0.064244,UNSAT,5,0.085795,,UNSAT,5,0.10234,UNSAT,5,0.10662,UNSAT,5,0.082695,UNSAT,5,0.11044
visprodcellp22,UNSAT,17,5.4452,UNSAT,16,2.9029,,UNSAT,17,5.5315,UNSAT,16,2.9563,UNSAT,16,3.0507,UNSAT,16,3.0252
